"transaction_from_key","transaction_to_key","value"
1286656,1286458,1.105715
1286656,782849,0.06650244
67,25,0.03
67,67,0.07275653
25,67,0.04012696
25,25,0.81207887
25,67,0.05350261
25,25,0.91609955
67,25,0.04
67,67,0.00744704
25,67,0.01337565
25,25,0.02724935
67,25,0.01
67,67,0.06032251
858050,1852,1e-05
858050,940115,1e-05
858050,5950,1e-05
858050,832,1e-05
858050,976426,1e-05
858050,1289810,1e-05
858050,109,5e-05
858050,1289811,1e-05
858050,1289812,1e-05
858050,825963,3e-05
858050,826384,1e-05
858050,829574,2e-05
858050,365,5e-05
858050,74,1e-05
858050,1289813,1e-05
858050,1210537,1e-05
858050,1289814,1e-05
858050,826261,5e-05
858050,858513,3e-05
858050,1289815,1e-05
858050,979127,3e-05
858050,858514,1e-05
858050,6810,1e-05
858050,1041008,1e-05
858050,1169538,1e-05
858050,858515,6e-05
858050,447,1e-05
858050,8101,7e-05
858050,1266744,1e-05
858050,1209399,1e-05
858050,16249,2e-05
858050,852064,1e-05
858050,1196748,1e-05
858050,20727,1e-05
858050,1289816,1e-05
858050,8982,1e-05
858050,82,1e-05
858050,824898,6e-05
858050,2130,1e-05
858050,2322,2e-05
858050,1205434,1e-05
858050,976440,1e-05
858050,787207,4e-05
858050,976859,1e-05
858050,1207458,1e-05
858050,824851,1e-05
858050,1289817,1e-05
858050,1111323,1e-05
858050,794180,4e-05
858050,982068,1e-05
858050,11,5e-05
858050,8098,3e-05
858050,783174,1e-04
858050,1206950,1e-05
858050,11,1e-05
858050,57036,1e-05
858050,74,4e-05
858050,1289818,1e-05
858050,974714,2e-05
858050,1261740,1e-05
858050,975328,1e-05
858050,910612,1e-05
858050,976778,5e-05
858050,1130587,1e-05
858050,910400,1e-05
858050,982006,1e-05
858050,74,3e-05
858050,1903,1e-05
858050,1289819,1e-05
858050,640,1e-05
858050,974180,1e-05
858050,1218109,1e-05
858050,978997,1e-05
858050,977290,3e-05
858050,922633,3e-05
858050,1210547,1e-05
858050,858525,2e-05
858050,976888,3e-05
858050,976904,1e-05
858050,74,1e-05
858050,976999,2e-05
858050,74,1e-05
858050,981294,2e-05
858050,74,1e-05
858050,978600,2e-05
858050,1289820,1e-05
858050,976790,1e-05
858050,976992,2e-05
858050,976657,9e-05
858050,1289821,1e-05
