"transaction_from_key","transaction_to_key","value"
1158687,782499,24.73
1158687,1158687,49.84660622
45640,978351,1e-05
45640,837425,1e-04
45640,10499,0.00012
45640,922570,2e-05
45640,1115250,1e-05
45640,1000137,1e-05
45640,6376,1e-05
45640,848328,1e-05
45640,824770,1e-05
45640,916157,1e-04
45640,1115251,3e-05
45640,985613,1e-05
45640,824773,1e-05
45640,7,6e-05
45640,981904,1e-05
45640,1069357,2e-05
45640,978135,1e-05
45640,837568,1e-05
45640,1106736,1e-05
45640,824806,1e-05
45640,1115252,1e-05
45640,848338,1e-05
45640,977901,1e-05
45640,1115253,3e-05
45640,848340,1e-05
45640,845,0.00011
45640,1115254,0.00038
45640,8119,1e-05
45640,29,6e-05
45640,829264,5e-05
45640,1069359,1e-05
45640,895557,2e-05
45640,8983,1e-05
45640,978338,1e-05
45640,1081088,1e-05
45640,1115255,2e-05
45640,974543,2e-05
45640,975577,1e-05
45640,9840,1e-05
45640,858562,1e-05
45640,1058095,1e-05
45640,1115256,0.001
45640,27942,1e-05
45640,11302,1e-04
45640,922593,9e-05
45640,974737,1e-05
45640,978036,1e-05
45640,794023,2e-05
45640,922595,4e-05
45640,848355,1e-05
45640,852609,1e-05
45640,979188,1e-05
45640,1115257,1e-05
45640,979173,1e-05
45640,824830,0.00013
45640,20039,3e-05
45640,1115258,1e-05
45640,1115259,7e-05
45640,7489,0.00011
45640,1058766,1e-05
45640,980505,4e-05
45640,836846,4e-05
45640,987052,0.00037
45640,1115260,1e-05
45640,923669,0.00016
45640,1103532,6e-05
45640,1095373,1e-05
45640,1069368,0.00017
45640,848363,1e-05
45640,1115261,0.00012
45640,1115262,1e-05
45640,82,2e-05
45640,1115263,1e-05
45640,1115264,1e-05
45640,933080,7e-05
45640,794237,5e-05
45640,829277,0.00011
45640,8108,6e-05
45640,829279,1e-05
45640,4062,2e-05
45640,783240,0.00018
45640,1069370,1e-05
45640,7042,2e-05
45640,37122,4e-05
45640,848371,4e-05
45640,2689,2e-05
45640,40609,1e-05
45640,1115265,1e-05
45640,824892,6e-05
45640,1115266,1e-05
45640,851855,1e-05
