"transaction_from_key","transaction_to_key","value"
1303244,1303246,2.0186014
1303244,782625,0.01
25,67,0.0267513
25,25,0.87973313
67,25,0.02
67,67,0.01962696
54558,837425,7.67e-06
54558,783043,3.33e-06
54558,848329,8.33e-06
54558,33967,4e-06
54558,27895,8.33e-06
54558,821863,6.67e-06
54558,1313021,8e-06
54558,909656,5.67e-06
54558,830,4e-06
54558,56478,7.33e-06
54558,11,8e-06
54558,1063,4.67e-06
54558,74,6e-06
54558,1061736,8e-06
54558,74,4.67e-06
54558,71,7.67e-06
54558,830,4e-06
54558,1474,7e-06
54558,829267,5.67e-06
54558,15233,7e-06
54558,1202046,3.67e-06
54558,1202049,8e-06
54558,836846,5.67e-06
54558,863940,5.776e-05
54558,11,7.67e-06
54558,979777,8.33e-06
54558,858535,1.633e-05
54558,976409,3.67e-06
54558,6721,5e-06
54558,783112,7.33e-06
54558,21703,7.67e-06
54558,979075,8e-06
54558,1299455,0.59379827
54558,1043064,0.00019923
54558,829289,3.67e-06
54558,27850,3.67e-06
54558,977062,4.33e-06
54558,1932,7.33e-06
54558,11,4e-06
54558,11,5e-06
54558,922633,6.67e-06
54558,74,8.33e-06
54558,27,8e-06
54558,842418,6e-06
54558,979753,6e-06
54558,978846,3.67e-06
54558,837289,4.33e-06
54558,849,5.33e-06
54558,787684,3.67e-06
54558,1289798,3.67e-06
54558,909774,1.2e-05
54558,18,4e-06
54558,20790,8.33e-06
54558,74,6e-06
54558,977099,4.33e-06
54558,8102,5.67e-06
54558,1313023,8e-06
54558,1117156,3.67e-06
54558,11,6.67e-06
54558,74,6.33e-06
54558,11,5e-06
54558,1291904,5.67e-06
54558,1313024,5.33e-06
54558,74,5.67e-06
54558,802788,4e-06
54558,782997,1.533e-05
54558,27731,6.67e-06
54558,1852,3.33e-06
54558,927564,7e-06
54558,977226,6e-06
54558,74,6.67e-06
54558,74,6.978e-05
54558,1182198,4e-06
54558,1196222,8.33e-06
54558,976951,4.33e-06
54558,821,4.33e-06
54558,930131,6.33e-06
54558,18,2.8e-05
54558,1170229,6.67e-06
54558,909849,3.67e-06
54558,1130566,7e-06
54558,839198,6.67e-06
54558,71,4e-06
54558,820042,7.67e-06
54558,858263,1.3e-05
54558,74,6e-06
54558,1207413,4.33e-06
54558,20781,8.33e-06
54558,975646,6.33e-06
54558,837236,8e-06
54558,848527,3.67e-06
54558,829341,4e-06
54558,1041017,4.67e-06
54558,1261645,4.33e-06
54558,1207458,3.67e-06
54558,871744,4.367e-05
54558,827423,4.33e-06
54558,74,5.67e-06
54558,974149,8.33e-06
54558,9268,2.867e-05
54558,74,1.633e-05
54558,1313025,6.67e-06
54558,830,6.67e-06
54558,933286,5.67e-06
54558,858465,5e-06
54558,836698,5e-06
54558,829360,8.33e-06
54558,829361,6.67e-06
54558,864547,3.67e-06
54558,829363,8e-06
54558,1196436,4.33e-06
54558,837052,7e-06
54558,1061747,6e-06
54558,825265,6.67e-06
54558,11,7.33e-06
54558,997,7.33e-06
54558,848594,3.811e-05
54558,27877,6.33e-06
54558,829381,6.33e-06
54558,6793,6e-06
54558,1313027,4.33e-06
54558,71,5.67e-06
54558,1245278,8e-06
54558,11,3.33e-06
54558,782960,3.33e-06
54558,6794,4.33e-06
54558,979950,8.33e-06
54558,829388,3.67e-06
54558,787791,7.67e-06
54558,1206751,6.67e-06
54558,10812,1.367e-05
54558,33193,7.33e-06
54558,6953,5.67e-06
54558,74,6.33e-06
54558,1130577,3.67e-06
54558,825346,4.67e-06
54558,29,4.33e-06
54558,975923,5e-06
54558,1263889,6e-06
54558,825386,8.33e-06
54558,829401,6.33e-06
54558,1278746,5e-06
54558,825393,4e-06
54558,1313028,5.67e-06
54558,90,8.33e-06
54558,71,5.33e-06
54558,787235,4.67e-06
54558,977156,7e-06
54558,74,7.67e-06
54558,74,5.67e-06
54558,74,0.00077935
54558,835095,2.533e-05
54558,910036,5e-06
54558,1004112,4.67e-06
54558,842548,1.6e-05
54558,976990,3.67e-06
54558,107,4e-06
54558,1261667,5.33e-06
54558,848011,7e-06
54558,941215,8.33e-06
54558,941217,6.33e-06
54558,1161379,4.67e-06
54558,74,7.67e-06
54558,975684,7.67e-06
54558,6316,3.67e-06
54558,28093,4.152e-05
54558,11,6.67e-06
54558,74,7.33e-06
54558,794038,8e-06
54558,842169,3.33e-06
54558,842254,4.67e-06
54558,11,8e-06
54558,1313029,2.4e-05
54558,968173,6.67e-06
54558,1313030,4.67e-06
54558,1268380,3.67e-06
54558,787671,9.34e-06
54558,1313031,7e-06
54558,858491,7.67e-06
54558,1209329,8.33e-06
54558,974936,6.67e-06
54558,976527,6.33e-06
54558,1026947,6.67e-06
54558,1932,3.33e-06
54558,858984,7.67e-06
54558,981294,8.33e-06
54558,911137,8.33e-06
54558,830,6e-06
54558,787371,4e-06
54558,1313032,5.33e-06
54558,978083,3.33e-06
54558,976980,7.67e-06
54558,977333,7.67e-06
54558,74,8.33e-06
54558,922824,5e-06
54558,74,4.885e-05
54558,74,4e-06
54558,799086,4e-06
54558,11,6.33e-06
54558,195,6.33e-06
54558,839190,6.33e-06
54558,927555,5e-06
54558,6330,3.67e-06
54558,974868,6.67e-06
54558,1301986,7.33e-06
54558,837103,8.33e-06
54558,825676,4.67e-06
54558,9832,4.33e-06
54558,829493,8e-06
54558,71,7.33e-06
54558,830,5.67e-06
54558,1090072,6e-06
54558,18282,5.33e-06
54558,1313033,6.67e-06
54558,1276555,6.67e-06
54558,74,3.67e-06
54558,1193713,4.33e-06
54558,945534,5.67e-06
54558,1261684,5e-06
54558,1113008,4.33e-06
54558,4921,2.166e-05
54558,642,8.33e-06
54558,829506,4.33e-06
54558,848791,6.33e-06
54558,74,3.33e-06
54558,825701,6.67e-06
54558,1313034,6.33e-06
54558,933575,4e-06
54558,968650,3.4e-05
54558,863,4e-06
54558,1113421,3.33e-06
54558,829511,6.33e-06
54558,829512,7.33e-06
54558,821,3.33e-06
54558,977230,3.33e-06
54558,9103,7.33e-06
54558,4408,6.33e-06
54558,27757,5.67e-06
54558,858300,5.67e-06
54558,1261692,3.67e-06
54558,798975,3.33e-06
54558,829516,6e-06
54558,975751,4.33e-06
54558,829518,8e-06
54558,1932,6.67e-06
54558,925780,5e-06
54558,74,8.33e-06
54558,782805,5.67e-06
54558,16074,7.67e-06
54558,1289800,2.433e-05
54558,1313035,8e-06
54558,977003,7.67e-06
54558,804274,5.33e-06
54558,976593,1.2e-05
54558,794000,4.33e-06
54558,829525,1.133e-05
54558,976746,4.9e-05
54558,2697,7.33e-06
54558,74,4.33e-06
54558,953763,3.33e-06
54558,787332,3.33e-06
54558,976301,2.334e-05
54558,829533,5.67e-06
54558,1205407,4e-06
54558,825843,8.67e-06
54558,7,1.4e-05
54558,74,4.67e-06
54558,842297,7.33e-06
54558,71,4.67e-06
54558,365,7.67e-06
54558,825826,7e-06
54558,1169538,4.33e-06
54558,911145,4.67e-06
54558,1112898,7.67e-06
54558,1291984,8e-06
54558,787388,6e-06
54558,829544,8e-06
54558,1196759,6.33e-06
54558,911146,6e-06
54558,974325,1.4e-05
54558,1313036,4e-06
54558,830,7.33e-06
54558,1261704,6e-06
54558,18298,7.33e-06
54558,825897,0.00014235
54558,825898,7e-06
54558,1081299,3.67e-06
