"transaction_from_key","transaction_to_key","value"
866625,17,93.64125014
866625,27,6.35874986
871198,17,12.4131708
871198,27,1.5867292
28,868098,3.9803
28,28,20.47980462
26,25,0.01
26,25,0.01
26,25,0.02
26,26,0.01285261
26,25,0.02
26,25,0.02
26,25,0.03
26,26,0.908
857653,857108,7.19913581
857653,32,0.01743142
878185,782666,0.5397303
878185,833599,7.90834034
894256,800559,0.57768941
894256,782686,18.98137551
874678,782690,1
874678,874678,10.44
8617,846481,0.01078847
8617,782700,5
26,25,0.02
26,25,0.02
26,25,0.03
26,26,0.55778266
26,25,0.02
26,25,0.02
26,25,0.03
26,26,0.46502613
26,25,0.02
26,25,0.02
26,25,0.03
26,26,0.48728266
782734,25,0.56667
782734,782734,38.17154893
26,25,0.01
26,25,0.01
26,25,0.02
26,26,0.01285261
26,25,0.5
26,25,0.5
26,25,0.5
26,25,0.05
26,25,0.05
26,25,0.05
26,25,0.01
26,25,0.01
26,25,0.01
26,25,0.01
26,25,0.01
26,26,51.12456453
26,25,0.02
26,25,0.02
26,25,0.03
26,26,0.8675
856227,851655,0.036
856227,11,11.5084
782792,878787,2.1
782792,782792,1.163809
782802,9029,0.02979991
782802,782802,0.00785735
782802,25,0.02
782802,782802,0.00036587
782804,3656,0.0633
782804,782804,0.0362
782804,782805,0.0727
782804,782804,0.0134
782804,10393,0.0836
782804,782804,0.22805
16031,893062,0.02730998
16031,782810,1.4
9657,851596,0.00452447
9657,782810,1.94
782815,862075,0.201
782815,782815,3.2845
782815,782816,0.16675931
782815,782815,0.00451565
782815,862075,0.2
782815,782815,1.13756533
891026,885566,0.408034
891026,56,47.34745887
11887,11,14.42806443
11887,865591,0.95
861345,59,9.84018875
861345,27,2
14180,877904,0.2
14180,59,1.2955708
15522,13376,0.01298945
15522,61,0.28651811
11,914875,2.21185871
11,61,45.92577673
866949,11,0.755953
866949,866950,23.102047
902552,11,14.4495
902552,27,0.5
13061,62,0.23744
13061,782685,0.015
782685,782757,0.0035663
782685,62,0.1831337
782685,62,0.049531
782685,782757,0.000969
895731,889595,929.83222
895731,66,18.16752
66,25,0.05
66,66,0.00467956
858050,10838,2e-06
858050,829355,1.6e-05
858050,365,4e-06
858050,825963,1e-06
858050,842082,1e-06
858050,847780,1e-06
858050,858510,1e-06
858050,852789,3e-06
858050,858511,1e-06
858050,837105,1e-06
858050,80,1e-06
858050,20,2e-06
858050,837556,9e-06
858050,858512,1e-06
858050,858513,3e-06
858050,858514,1e-06
858050,107,2e-06
858050,858515,1e-06
858050,826345,1e-06
858050,848550,1e-06
858050,858516,1e-06
858050,837720,5e-06
858050,829481,5e-06
858050,824898,1e-06
858050,7503,2e-06
858050,858517,9e-06
858050,858518,2e-06
858050,825898,3e-06
858050,787207,6e-06
858050,824851,1e-06
858050,848343,2e-06
858050,799820,4e-06
858050,826215,7e-06
858050,832984,7e-06
858050,11,1e-06
858050,858519,9e-06
858050,802788,1e-06
858050,815313,1e-06
858050,824965,1e-05
858050,825356,1e-06
858050,858520,1e-06
858050,839198,1.1e-05
858050,824880,3e-06
858050,802927,3e-06
858050,837062,2e-06
858050,842162,1e-06
858050,787583,1e-05
858050,858521,1e-06
858050,829634,1e-06
858050,799030,4e-06
858050,858522,1e-06
858050,6273,2e-06
858050,842299,4e-06
858050,82,1e-06
858050,794205,2e-06
858050,837425,1e-06
858050,82,2e-06
858050,6806,1e-06
858050,787461,1e-06
858050,842232,1e-06
858050,829425,2e-06
858050,858523,1e-06
858050,842445,4e-06
858050,829511,1e-06
858050,825715,7e-06
858050,858524,1e-06
858050,787179,8e-06
858050,847985,2e-06
858050,6302,1e-06
858050,826328,1.2e-05
858050,858525,1e-06
858050,858526,1e-06
858050,858527,1e-06
858050,855674,1e-06
858050,858528,3e-06
858050,837506,2e-06
858050,826364,2e-06
858050,858529,1e-06
858050,842306,4e-06
858050,858530,1e-06
858050,826146,1e-06
858050,825335,2e-06
858050,825334,1e-06
858050,826435,1e-06
858050,848590,1e-06
858050,825813,5e-06
858050,836713,1e-06
858050,802731,9e-06
858050,858531,1e-06
858050,825985,2e-06
858050,839021,1e-06
858050,825258,1.1e-05
858050,11,2e-06
858050,71,1e-06
858050,858532,1e-06
858050,825346,1e-06
858050,825850,2e-06
858050,858533,1e-06
858050,837670,1e-06
858050,829670,2e-06
858050,4247,2e-06
858050,783303,1e-06
858050,858534,1e-06
858050,837294,2e-06
858050,858535,2e-06
858050,829607,3e-06
858050,787536,1e-06
858050,799009,5e-06
858050,858536,2e-06
858050,842465,1e-06
858050,20,3e-06
858050,829549,1e-06
858050,842071,3e-06
858050,858537,1e-06
858050,858538,1e-06
858050,858539,2e-06
858050,858540,1e-06
858050,825698,1e-06
858050,783281,5e-06
858050,836727,4e-06
858050,858541,2e-06
858050,825228,2e-06
858050,849955,2e-06
858050,858542,1e-06
858050,858543,7e-06
858050,787734,6e-06
858050,837543,4e-06
858050,858544,1e-06
858050,791383,2e-06
858050,858545,1e-06
858050,27,1e-06
858050,858546,1e-06
858050,782996,5e-06
858050,858547,1e-06
858050,839227,5e-06
858050,832857,7e-06
858050,829426,7e-06
858050,783000,4e-06
858050,858548,1e-06
858050,842329,1e-06
858050,10839,2e-06
858050,826491,4e-06
858050,858550,1e-06
858050,11,3e-06
858050,849162,1e-06
858050,787346,4e-06
858050,858551,4e-06
858050,799053,4e-06
858050,365,1e-06
858050,826129,1e-06
858050,858050,0.269542
858008,832969,4e-08
858008,829667,4e-08
858008,835111,4e-08
858008,6797,4e-08
858008,833005,4e-08
858008,858009,4e-08
858008,858010,4e-08
858008,849079,6.03e-06
858008,1879,1.206e-05
858008,10799,3.06e-06
858008,852,8.178e-05
858008,858011,6.03e-06
858008,847984,2.415e-05
858008,8958,7.233e-05
858008,8956,1.809e-05
858008,9003,6.06e-06
858008,858012,2.406e-05
858008,74,9e-06
858008,826067,9.06e-06
858008,847799,9.06e-06
858008,858013,3e-06
858008,819573,5.256e-05
858008,837072,3e-08
858008,853,3e-08
858008,799035,8.04e-06
858008,832952,2.004e-05
858008,819557,2.403e-05
858008,833015,2.804e-05
858008,5957,9e-06
858008,787716,1.2e-05
858008,787548,1.6e-05
858008,858015,4.04e-06
858008,5951,6.903e-05
858008,837670,1.6e-05
858008,843262,1.2e-05
858008,5948,1.5e-05
858008,858016,1.2e-05
858008,833033,8e-06
858008,858017,2.004e-05
858008,819537,3.6e-05
858008,858018,2.8e-05
858008,782805,9.03e-06
858008,817382,8.04e-06
858008,837345,8e-06
858008,29,1.2e-05
858008,858019,1.6e-05
858008,819584,1.2e-05
858008,858020,1.6e-05
858008,4,1.6e-05
858008,1867,1.806e-05
858008,839045,4e-06
858008,858021,1.2e-05
858008,833014,1.2e-05
858008,858022,8.04e-06
858008,810709,4e-08
858008,5954,9e-06
858008,8099,8e-06
858008,787591,1.2e-05
858008,829577,4.04e-06
858008,829366,1.204e-05
858008,858023,4e-06
858008,798718,9.03e-06
858008,829292,4e-08
858008,856414,8e-06
858008,833038,4e-06
858008,787811,4.04e-06
858008,858024,8e-06
858008,5950,6.03e-06
858008,814234,4e-06
858008,858025,4e-08
858008,835089,4e-06
858008,793899,3e-06
858008,11,4e-06
858008,819544,6e-06
858008,837500,4e-06
858008,842734,3e-06
858008,858026,8e-06
858008,858027,8e-06
858008,819559,6e-06
858008,856383,0.01085079
858008,836953,4e-06
858008,833016,4e-06
858008,829284,4.04e-06
858008,802765,4e-06
858008,858028,4e-06
858008,858029,8e-06
858008,858030,4e-06
858008,7057,3e-06
858008,71,3e-06
858008,842781,4e-06
858008,801745,4e-06
858008,829277,4e-06
858008,782960,4e-06
858008,819578,3e-06
858008,817237,4e-06
858008,6323,4e-06
858008,858031,4e-06
858008,783169,4e-06
858008,852876,4e-06
858008,92,4e-06
858008,846462,4e-06
858008,835891,4e-06
858008,858032,3e-06
858008,858033,4e-06
858008,813713,4e-06
858008,852877,4e-06
858008,858034,3e-06
858008,858035,4e-06
858008,826165,4e-06
858008,829611,4e-06
858008,858036,4e-06
858008,5960,3e-06
858008,6805,4e-06
858008,819593,3e-06
858008,6095,3e-08
858050,858273,1e-06
858050,6986,4e-06
858050,858274,1e-06
858050,858275,2e-06
858050,787166,2e-06
