"transaction_from_key","transaction_to_key","value"
1626220,1625524,6.41434354
1626220,782490,1.75788252
1626087,1625883,122.08956913
1626087,782490,15.90843087
112928,782543,0.001
112928,112928,5.9985
25,67,1e-04
25,25,0.0189
67,25,0.02
67,67,0.06080738
1628841,125,0.457
1628841,1627115,32.19244686
1623439,108349,11.44459462
1623439,125,6.197
1626386,37,3.94543378
1626386,1623814,4.38418274
1626386,125,0.06016877
7,7,0.01164141
7,783454,13.9
1607301,1606644,3.44223
1607301,133,12.7187
1932,113972,0.02049195
1932,135,4
144,29,7.7
144,144,0.492
1606187,144,0.3
1606187,1606188,2.0245
1617553,148,1.127
1617553,110881,2
783607,1610712,1.7
783607,783607,1.04188875
185,1606629,5
185,185,5.51197822
112488,216,0.00850481
112488,29,1.79
1622468,1621423,13.63810215
1622468,333,2.767653
1374,1374,14.21668044
1374,489,0.04
74,74,0.1692158
74,785473,30
503,503,0.01021536
503,504,4
1632165,511,5.953
1632165,1528662,35.23292437
922569,74,2e-05
922569,1632584,1e-05
922569,1459006,1e-05
922569,1261627,5e-05
922569,1540693,1e-05
922569,922570,1e-05
922569,1168077,1e-05
922569,847791,0.00098
922569,851,9e-05
922569,848330,2e-05
922569,1121923,1e-05
922569,909656,0.00044
922569,56478,0.00064
922569,1255178,2e-05
922569,74,1e-05
922569,837568,0.00011
922569,812983,1e-05
922569,1540709,3e-05
922569,829264,8e-05
922569,1459009,1e-05
922569,1459010,1e-05
922569,1535199,1e-05
922569,74,1e-05
922569,1201983,1e-05
922569,1632585,1e-05
922569,1632586,1e-05
922569,1459011,1e-05
922569,985619,3e-05
922569,1459012,1e-05
922569,922587,5e-05
922569,977029,1e-05
922569,1459014,1e-05
922569,20038,4e-05
922569,9840,3e-05
922569,858562,1e-05
922569,782991,6e-05
922569,864708,0.00016
922569,11302,1e-05
922569,1632587,1e-05
922569,1202033,2e-05
922569,1632588,1e-05
922569,837257,4e-05
922569,979188,4e-05
922569,74,1e-05
922569,1540736,1e-05
922569,1162268,2e-05
922569,1216880,4e-05
922569,1111376,2e-05
922569,1632589,1e-05
922569,1459017,1e-05
922569,1202072,1e-05
922569,74,0.00031
922569,1631926,0.00028
922569,29906,4e-05
922569,20040,1e-05
922569,1162275,2e-05
922569,1162276,7e-05
922569,1632590,1e-05
922569,7,1e-05
922569,783240,8e-05
922569,974195,2e-05
922569,1459021,1e-05
922569,1514536,5e-05
922569,1211749,1e-05
922569,40609,1e-05
922569,11,0.00069
922569,1632591,1e-05
922569,800948,1e-05
922569,9076,1e-05
922569,1459022,1e-05
922569,20042,3e-05
922569,74,0.00546
922569,1162287,1e-05
922569,839186,1e-05
922569,6721,4e-05
922569,1632592,1e-05
922569,794199,0.00011
922569,783112,2e-05
922569,17889,1e-05
922569,8992,0.00158
922569,973906,1e-05
922569,1540766,1e-05
922569,1605184,1e-05
922569,1632593,2e-05
922569,1632594,1e-05
922569,81664,0.00031
922569,1632595,2e-05
922569,1162297,1e-05
922569,1605186,5e-05
922569,1632596,1e-05
922569,1212814,0.00013
922569,9968,4e-05
922569,1632597,1e-05
922569,802731,0.00014
922569,1632598,1e-05
922569,1626655,1e-05
922569,9076,1e-05
922569,824920,2e-04
922569,1210856,1e-05
922569,340,0.00015
922569,836965,9e-05
922569,27574,1e-05
922569,1058153,1e-05
922569,1040956,1e-05
922569,1193716,1e-05
922569,787439,2e-05
922569,1632599,1e-05
922569,848409,4e-05
922569,1632600,1e-05
922569,1459026,1e-05
922569,842459,1e-05
922569,1632601,1e-05
922569,1459028,1e-05
922569,59779,1e-05
922569,1459029,1e-05
922569,4211,1e-05
922569,1004503,5e-05
922569,1540791,1e-05
922569,1632602,1e-05
922569,1202190,1e-05
922569,1130030,1e-05
922569,9079,1e-05
922569,365,0.00013
922569,848429,2e-05
922569,9076,2e-05
922569,1162327,1e-05
922569,28533,1e-05
922569,824981,0.00034
922569,1632603,1e-05
922569,1459035,1e-05
922569,7,2e-05
922569,1209183,1e-05
922569,964681,2e-05
922569,1162333,7e-05
922569,1632604,1e-05
922569,74,1e-05
922569,1162338,1e-05
922569,21665,1e-05
922569,28185,1e-05
922569,74,0.00032
922569,6721,6e-05
922569,848455,2e-05
922569,1255190,1e-05
922569,32031,1e-05
922569,1559325,1e-05
922569,1459039,1e-05
922569,27879,3e-05
922569,11,1e-05
922569,1632605,0.00015
922569,6316,1e-05
922569,842166,1e-05
922569,1094,1e-05
922569,1162346,1e-05
922569,1162347,1e-05
922569,20046,2e-05
922569,1540826,1e-05
922569,1540829,4e-05
922569,897112,1e-05
922569,936731,0.00048
922569,74,0.0012
922569,27,1e-05
922569,9076,1e-05
922569,859096,1e-05
922569,848474,1e-05
922569,80,3e-05
922569,74,1e-05
922569,787418,2e-05
922569,11,0.00042
922569,1632606,1e-05
922569,109402,7e-05
922569,1381704,1e-05
922569,850725,2e-05
922569,5951,1e-05
922569,1459045,1e-05
922569,1632607,2e-05
922569,848483,2e-05
922569,74,3e-05
922569,1632608,1e-05
922569,1322896,1e-05
922569,74,1e-05
922569,1162370,1e-05
922569,848486,6e-05
922569,1026104,1e-05
922569,1119466,2e-05
922569,1207377,1e-05
922569,47258,1e-05
922569,9086,1e-05
922569,1540860,1e-05
