"transaction_from_key","transaction_to_key","value"
7122,2918,4.32620043
7122,3249,8.28811257
7122,9886,0.94548159
7122,1188627,4.01483657
7122,30009,3.98269873
7122,30009,5.99765045
7122,3891,2.82161345
7122,3891,2.67017054
7122,3891,2.42984766
7122,30009,1.98066735
7122,320,1.55909702
7122,320,2.39337608
7122,471,2.4412941
7122,10502,0.74659759
7122,320,1.16983813
7122,92684,0.31069921
7122,6461,0.34046941
7122,92685,0.3855721
7122,841251,0.52373318
7122,92686,0.31068056
7122,9147,0.28779805
7122,19019,0.39729123
7122,1466442,0.22681858
7122,72319,0.60144391
7122,87679,0.25496879
7122,57267,0.17875615
7122,1466443,0.46860641
7122,1466444,0.41741662
7122,13310,0.41759497
7122,1466445,0.55967615
7122,92687,0.25311263
7122,92688,0.50445575
7122,9147,0.22666902
7122,1466446,0.29459444
7122,1466447,0.16782176
7122,31054,0.31522104
7122,31054,0.46654978
7122,1466448,0.40083434
7122,3770,0.44705842
7122,1466449,0.66636725
7122,1466450,0.40971154
7122,39274,0.60195607
7122,68665,0.31776779
7122,1466451,0.49982195
7122,1362492,0.22142108
7122,1466452,0.41973321
7122,1466453,0.44717303
7122,1466454,0.48632483
7122,1466455,0.28743749
7122,1466456,0.270022
7122,50436,0.32043656
7122,92689,0.59353277
7122,39014,0.5326089
7122,48324,0.22682311
7122,889344,0.26502025
7122,92690,0.33887503
7122,39642,0.60805544
7122,19009,0.32944244
7122,49054,0.45168289
7122,35151,0.176182
7122,10771,0.17976642
7122,1466461,0.55481621
7122,1466462,0.60326839
7122,1466463,0.21890802
7122,915919,0.19341863
7122,92691,0.35826568
7122,11,0.52752347
7122,1466465,0.37912533
7122,1454040,0.35369475
7122,1466466,0.45124347
7122,1431925,0.50498662
7122,12066,0.31131944
7122,9511,0.3045824
7122,11658,0.50223273
7122,8496,0.33924405
7122,1466467,0.18840722
7122,1466468,0.60519872
7122,1466469,0.35331594
7122,997,0.43001509
7122,92692,0.25763372
7122,1466471,0.35523332
7122,92693,0.61665703
7122,1466473,0.45699861
7122,20700,0.66825769
7122,19007,0.31526064
7122,187,0.20029005
7122,87842,0.27063514
7122,25460,0.46651695
7122,1466474,0.59497466
7122,34228,0.27210075
7122,1466475,0.47468924
7122,1466476,0.32418594
7122,9865,0.61487674
7122,76312,0.60528295
7122,8496,0.59483484
7122,1466477,0.55078752
7122,8496,0.58078794
7122,8496,0.56022737
7122,1466478,0.54878984
7122,7330,0.48267378
7122,829990,0.32420919
7122,915917,0.48384641
7122,4590,0.27343101
7122,8572,0.6508617
7122,13310,0.67008444
7122,80179,0.21610752
7122,1466480,0.44357778
7122,1347172,0.66262291
7122,41992,0.55100339
7122,92694,0.29484355
7122,8496,0.31444236
7122,36408,0.44772848
7122,11,0.65564753
7122,936530,0.29095598
7122,92695,0.37206633
7122,92696,0.60097859
7122,35706,0.27721732
7122,92697,0.42589096
7122,9887,0.36947064
7122,1466483,0.31294323
7122,4341,0.44800094
7122,1466484,0.48202691
7122,91123,0.43383167
7122,55365,0.26219663
7122,92698,0.64718508
7122,92699,0.2815963
7122,25566,0.34805969
7122,10769,0.22850907
7122,92700,0.53343631
7122,58488,0.25134314
7122,12,0.53937771
7122,8496,0.50172162
7122,8496,0.55681429
7122,8496,0.65703828
7122,92701,0.45296312
7122,87679,0.47473014
7122,8547,0.59062776
7122,92702,0.6013954
7122,25389,0.1728265
7122,1466490,0.41174342
7122,1466491,0.5847106
7122,92703,0.49360237
7122,57267,0.39834924
7122,92704,0.52055019
7122,36410,0.23070487
7122,12066,0.28290034
7122,59914,0.2406255
7122,69020,0.23839735
7122,92705,0.65571573
7122,57267,0.51713779
7122,8496,0.52614234
7122,1466497,0.64875767
7122,29105,0.43381983
7122,620,0.21873129
7122,13310,0.49085626
