"transaction_from_key","transaction_to_key","value"
782500,25,0.05
782500,782500,69.929
532,889523,0.1
532,451,10
532,23029,5
532,2652,1
532,815609,8
532,457,1
532,23030,0.5
532,2658,0.5
532,11,0.1
532,791963,0.1
532,23031,0.1
532,460,3
532,4068,2
532,4069,3.3
532,4692,10
532,463,30
532,464,0.5
532,4693,0.1
532,465,2
532,27,1
532,785345,0.1
532,940487,0.1
532,941913,0.1
532,4751,0.1
532,785348,5
532,11,0.1
532,140,0.1
532,6179,0.1
532,471,10
532,798751,0.1
532,512,0.1
532,836151,0.1
532,2663,0.1
532,15,0.2
532,23032,6.43037193
532,814722,0.1
532,820876,0.1
532,785354,0.1
532,5285,0.1
984969,984558,0.19508689
984969,17,63.31789444
966471,782545,35.17
966471,7,10
955258,23,0.1
955258,955259,68.25033521
967965,782589,10.6
967965,967966,13.18502601
25,6377,0.01358566
25,25,0.54195605
941715,941011,906.13085321
941715,782710,11.9632751
782792,376,0.5
782792,782792,2.76380969
25,782500,0.00025
25,25,0.41525
782500,25,0.5
782500,782500,8.978
25,782500,5e-05
25,25,0.0356
25,782500,1e-04
25,25,0.04555
25,782500,0.53552613
25,25,0.58482822
25,782500,0.53552613
25,25,0.01400387
782815,970893,0.5
782815,782815,0.43055226
782815,1474,0.42
782815,782815,2.58
1474,782815,0.7
1474,782815,0.3
1474,782815,0.1995
964952,964954,19.05440303
964952,11,0.22
931570,11,2.16733497
941729,11,2.49
962101,782625,0.01
962101,962102,0.30526992
971203,63,0.01443225
971203,971205,177.2911417
25,64,0.01004424
25,25,0.87961253
64,64,0.1485
64,25,0.001
983774,64,0.02994066
983774,25,0.01
985099,64,0.0196996
985099,984621,10.55771182
25314,25,0.011
25314,69,0.00279362
46,782896,2.832
943635,72,0.01
943635,943636,19.22755628
926948,926949,83.15706746
926948,72,0.11271292
22601,783364,24434.69
22601,22602,2999.998
118,984483,1
118,118,5.67134494
965582,27,0.35
965582,123,528.53846539
932942,932540,9.462
932942,123,532.44297509
946490,941726,110
946490,126,444.43428424
950551,11,193.02056919
950551,950552,60
969914,132,28.369629
969914,23641,9.775371
948510,783493,1
948510,876816,3.9188
950306,136,0.608
950306,950307,0.4524
27,138,3.94799901
27,28230,0.0101449
953584,953585,1.37289146
953584,141,0.76489654
1374,1374,8.0682411
1374,159,0.14
25,875988,0.01071052
25,25,0.92120103
25,931706,0.0250481
25,25,0.97634403
25,26,0.005
25,25,0.994
20,957040,1.14558376
20,29,2.291
20,27,0.16785994
20,957745,2
20,25067,1.23553846
20,11,0.1286838
20,11,6.63
20,3072,17.62
20,170,2.54918123
20,957746,2
20,29,0.59969
20,195,0.1
20,957747,0.43924606
20,20,0.01000015
20,29,0.587
25,18806,0.02003848
25,25,0.81233888
25,17910,0.3005772
25,25,0.66770438
943301,943302,33.60115891
943301,783603,0.36461536
783605,985967,8.11059999
783605,783605,10
922509,783905,2.55471381
947730,910892,0.2166199
947730,784031,0.7828801
950191,233,17.33052281
950191,19830,0.90883773
25,784161,8.883e-05
25,25,0.01667871
928642,11,9.9962
928642,806956,0.0012
966599,11,0.102
966599,966600,49.14760841
115,927939,1e-08
115,115,0.23373431
22589,243,2.03059721
22589,21928,0.02589656
15428,254,2
265,265,0.0395
265,25,0.01
974476,837460,4e-07
974476,974477,8e-07
974476,858947,8e-07
974476,74,8e-07
974476,974479,4e-07
974476,974480,4e-07
974476,974481,4e-07
974476,84,4e-07
974476,974482,4e-07
974476,974483,4e-07
974476,974484,4e-07
974476,974485,4e-07
974476,923686,1.9e-06
974476,974486,1.1e-06
974476,974487,1.1e-06
974476,908433,4e-07
974476,974488,4e-07
974476,848731,1.1e-06
974476,855718,1.1e-06
974476,974489,4e-07
974476,896415,4e-07
974476,974490,4e-07
974476,974491,4e-07
974476,974492,4e-07
974476,9849,4e-07
974476,11,4e-07
974476,974493,4e-07
974476,6802,1.5e-06
974476,974494,8e-07
974476,941212,4e-07
974476,974495,4e-07
974476,901674,8e-07
974476,974496,8e-07
974476,974497,4e-07
974476,974498,4e-07
974476,848991,1.5e-06
974476,974499,4e-07
974476,974500,4e-07
974476,8982,8e-07
974476,974501,1.1e-06
974476,824,8e-07
974476,787271,8e-07
974476,974502,1.1e-06
974476,902726,4e-07
974476,848389,8e-07
974476,974503,8e-07
974476,933047,4e-07
974476,27751,4e-07
974476,933498,1.5e-06
974476,839167,4e-07
974476,974505,4e-07
974476,787205,1.1e-06
974476,974506,8e-07
974476,787837,8e-07
974476,447,4e-07
974476,974507,4e-07
974476,974508,4e-07
974476,974509,4e-07
974476,974510,4e-07
974476,974511,4e-07
974476,974512,4e-07
974476,974513,4e-07
974476,974514,4e-07
974476,974515,4e-07
974476,974516,4e-07
974476,829620,8e-07
974476,837232,1.5e-06
974476,11,4e-07
974476,5093,4e-07
974476,792063,8e-07
974476,958290,4e-07
974476,837311,1.5e-06
974476,974517,4e-07
974476,974518,4e-07
974476,974519,4e-07
974476,27,4e-07
974476,85,1.1e-06
974476,974520,4e-07
974476,974521,4e-07
974476,974522,4e-07
974476,974523,4e-07
974476,11,8e-07
974476,29,4e-07
974476,826317,4e-07
974476,852621,1.1e-06
974476,858350,8e-07
974476,909904,4e-07
974476,974524,1.1e-06
974476,974525,8e-07
974476,832381,8e-07
974476,974526,4e-07
974476,997,8e-07
974476,27752,4e-07
974476,974528,4e-07
974476,814853,8e-07
974476,974529,4e-07
974476,974530,4e-07
974476,27753,4e-07
974476,974532,4e-07
974476,974533,4e-07
974476,956130,4e-07
974476,974534,1.1e-06
974476,974535,4e-07
974476,974536,4e-07
974476,974537,4e-07
974476,974538,4e-07
974476,968370,4e-07
974476,974539,4e-07
974476,9088,1.1e-06
974476,974540,4e-07
974476,6378,8e-07
974476,974541,4e-07
974476,952664,4e-07
974476,11,4e-07
974476,974542,4e-07
974476,974543,8e-07
974476,974544,4e-07
974476,974545,4e-07
974476,29,4e-07
974476,4,4e-07
974476,974546,4e-07
974476,11,4e-07
974476,858185,1.5e-06
974476,974547,4e-07
974476,27754,4e-07
974476,974549,4e-07
974476,974550,4e-07
974476,974551,4e-07
974476,974552,4e-07
974476,886943,4e-07
974476,25428,4e-07
974476,974553,1.5e-06
974476,826188,1.1e-06
974476,974554,4e-07
974476,836947,1.1e-06
974476,11,4e-07
974476,974555,4e-07
974476,974556,4e-07
974476,29,1.5e-06
974476,842371,8e-07
974476,911134,8e-07
974476,787253,8e-07
974476,974557,4e-07
974476,845,1.1e-06
974476,974558,4e-07
974476,974559,4e-07
974476,974560,4e-07
974476,845,8e-07
974476,27755,4e-07
974476,974562,4e-07
974476,974563,4e-07
974476,11,4e-07
974476,11,8e-07
974476,933900,4e-07
974476,1890,4e-07
974476,974564,4e-07
974476,974565,4e-07
974476,826139,1.5e-06
974476,974566,1.5e-06
974476,896416,4e-07
974476,11,4e-07
974476,27756,4e-07
974476,11,4e-07
974476,974567,4e-07
974476,27757,4e-07
974476,974569,4e-07
974476,968287,1.5e-06
974476,974570,1.1e-06
974476,818410,4e-07
974476,974571,4e-07
974476,11,4e-07
974476,921649,8e-07
974476,974572,1.1e-06
974476,974573,4e-07
974476,974574,4e-07
974476,974575,4e-07
974476,974576,4e-07
974476,974577,1.5e-06
974476,27,4e-07
974476,4062,4e-07
974476,27758,8e-07
974476,974579,4e-07
974476,27759,4e-07
974476,11,4e-07
974476,11,4e-07
974476,974581,4e-07
974476,974582,4e-07
974476,974583,4e-07
974476,974584,4e-07
974476,787321,1.5e-06
974476,842058,4e-07
974476,974585,4e-07
974476,974586,4e-07
974476,932244,4e-07
974476,74,4e-07
974476,974587,4e-07
974476,974588,4e-07
974476,858019,8e-07
974476,852502,1.1e-06
974476,825465,1.9e-06
974476,974589,4e-07
974476,974590,8e-07
974476,858959,1.5e-06
974476,974591,1.1e-06
974476,785067,8e-07
974476,974592,4e-07
974476,27654,4e-07
974476,894948,8e-07
974476,906746,4e-07
974476,794258,8e-07
974476,974593,4e-07
974476,974594,4e-07
974476,829594,1.9e-06
974476,974595,4e-07
974476,855231,8e-07
974476,27760,4e-07
974476,974597,4e-07
974476,974598,4e-07
974476,825104,1.1e-06
974476,2267,4e-07
974476,4,4e-07
974476,27761,4e-07
974476,906735,1.1e-06
974476,974600,4e-07
974476,27762,4e-07
974476,974602,4e-07
974476,974603,4e-07
974476,974604,4e-07
974476,974605,4e-07
974476,18628,4e-07
974476,842321,1.9e-06
974476,974606,4e-07
974476,974607,4e-07
974476,7470,1.5e-06
974476,974608,4e-07
974476,946907,8e-07
974476,4623,4e-07
974476,974609,1.1e-06
974476,842026,8e-07
974476,11,4e-07
974476,974611,4e-07
974476,11,4e-07
974476,974612,4e-07
974476,850762,4e-07
974476,974613,4e-07
974476,974614,4e-07
974476,74,4e-07
974476,1905,1.1e-06
974476,883040,8e-07
974476,802763,8e-07
974476,20,4e-07
974476,11,4e-07
974476,826022,1.9e-06
974476,974616,1.1e-06
974476,27,4e-07
974476,7,8e-07
974476,825822,4e-07
974476,74,1.1e-06
974476,974618,4e-07
974476,793867,8e-07
974476,894956,4e-07
974476,997,1.5e-06
974476,974620,4e-07
974476,974621,4e-07
974476,787806,8e-07
974476,842255,8e-07
974476,974622,8e-07
974476,974623,4e-07
974476,974624,4e-07
974476,6803,1.1e-06
974476,974625,4e-07
974476,974626,4e-07
974476,974627,4e-07
974476,794122,1.5e-06
974476,974628,1.9e-06
974476,974629,4e-07
974476,974630,4e-07
974476,974631,8e-07
974476,974632,4e-07
974476,787166,1.1e-06
974476,974633,8e-07
974476,974634,4e-07
974476,974635,4e-07
974476,974636,4e-07
974476,974637,4e-07
974476,974638,8e-07
974476,906712,4e-07
974476,974639,8e-07
974476,974640,4e-07
974476,974641,4e-07
974476,974642,8e-07
974476,27763,8e-07
974476,900668,8e-07
974476,7,4e-07
974476,905952,1.1e-06
974476,12030,8e-07
974476,27764,4e-07
974476,974645,4e-07
974476,974646,4e-07
974476,974647,4e-07
974476,783079,8e-07
974476,974648,4e-07
974476,974649,8e-07
974476,974650,8e-07
974476,365,1.1e-06
974476,864128,4e-07
974476,813481,1.1e-06
974476,974651,4e-07
974476,6810,4e-07
974476,9082,4e-07
974476,74,4e-07
974476,27,4e-07
974476,974652,8e-07
974476,974653,4e-07
974476,809359,4e-07
974476,974654,1.5e-06
974476,27765,4e-07
974476,842162,4e-07
974476,974656,4e-07
974476,11,4e-07
974476,974657,1.5e-06
974476,974658,4e-07
974476,974659,1.1e-06
974476,787186,4e-07
974476,4,4e-07
974476,334,1.5e-06
974476,787275,8e-07
974476,974660,8e-07
974476,922917,4e-07
974476,974661,8e-07
974476,799203,8e-07
974476,974662,8e-07
974476,2703,4e-07
974476,974663,4e-07
974476,974664,4e-07
974476,974665,4e-07
974476,974666,4e-07
974476,922733,8e-07
974476,27766,4e-07
974476,826417,4e-07
974476,27767,4e-07
974476,27768,4e-07
974476,974668,4e-07
974476,974669,4e-07
974476,974670,4e-07
974476,836750,4e-07
974476,824982,1.1e-06
974476,2692,1.1e-06
974476,27,8e-07
974476,11,4e-07
974476,974671,4e-07
974476,11,4e-07
974476,974672,4e-07
974476,27769,8e-07
974476,787190,8e-07
974476,11,8e-07
974476,974674,1.5e-06
974476,27,4e-07
974476,974675,4e-07
974476,974676,8e-07
974476,933412,1.1e-06
974476,11,4e-07
974476,8030,4e-07
974476,842182,1.5e-06
974476,974677,4e-07
974476,834233,1.1e-06
974476,858761,8e-07
974476,7,4e-07
974476,974678,4e-07
974476,974679,4e-07
974476,18883,4e-07
974476,974680,4e-07
974476,974681,1.1e-06
974476,11,4e-07
974476,974682,4e-07
974476,27770,4e-07
974476,974684,4e-07
974476,974685,4e-07
974476,783075,1.5e-06
974476,11,4e-07
974476,11,4e-07
974476,974686,8e-07
974476,974687,4e-07
974476,974688,4e-07
974476,75,1.1e-06
974476,799165,1.1e-06
974476,3575,4e-07
974476,849052,1.9e-06
974476,825356,8e-07
974476,974689,4e-07
974476,974690,4e-07
974476,825803,8e-07
974476,974691,1.1e-06
974476,974692,4e-07
974476,1786,4e-07
974476,825103,1.1e-06
974476,974693,1.5e-06
974476,974694,4e-07
974476,824952,1.5e-06
974476,7,4e-07
974476,27771,4e-07
974476,29,8e-07
974476,974695,4e-07
974476,974696,4e-07
974476,11,4e-07
974476,11,4e-07
974476,968178,4e-07
974476,11,4e-07
974476,974697,1.1e-06
974476,974698,4e-07
974476,793941,4e-07
974476,974699,8e-07
974476,11,4e-07
974476,852605,1.5e-06
974476,974700,1.5e-06
974476,974701,8e-07
974476,974702,4e-07
974476,799112,4e-07
974476,886997,1.1e-06
974476,974703,4e-07
974476,3146,4e-07
974476,974704,4e-07
974476,974705,4e-07
974476,11,4e-07
974476,27772,4e-07
974476,27773,4e-07
974476,7499,1.9e-06
974476,974708,4e-07
974476,974709,4e-07
974476,922737,8e-07
974476,974710,4e-07
974476,974711,4e-07
974476,27774,4e-07
974476,974712,8e-07
974476,11,4e-07
974476,826311,8e-07
974476,974713,8e-07
974476,974714,4e-07
974476,27347,4e-07
974476,974715,8e-07
974476,974716,8e-07
974476,9837,1.5e-06
974476,974717,4e-07
974476,974718,8e-07
974476,74,4e-07
974476,974720,4e-07
974476,974721,4e-07
974476,974722,4e-07
974476,11,4e-07
974476,974723,4e-07
974476,974724,4e-07
974476,974725,1.9e-06
974476,974726,4e-07
974476,20540,4e-07
974476,22893,8e-07
974476,832933,4e-07
974476,825721,4e-07
974476,974727,4e-07
974476,974728,4e-07
974476,1913,1.9e-06
974476,974729,1.1e-06
974476,6277,1.1e-06
974476,22893,8e-07
974476,974730,1.1e-06
974476,974731,4e-07
974476,974732,4e-07
974476,11,4e-07
974476,836926,1.5e-06
974476,974733,4e-07
974476,850,4e-07
974476,861516,4e-07
974476,974734,1.1e-06
974476,974735,1.1e-06
974476,11,4e-07
974476,974736,4e-07
974476,974737,8e-07
974476,925790,1.9e-06
974476,788673,4e-07
974476,974738,4e-07
974476,974739,1.9e-06
974476,835041,1.5e-06
974476,933793,1.1e-06
974476,974740,1.1e-06
974476,21719,1.1e-06
974476,974741,4e-07
974476,974742,4e-07
974476,18295,8e-07
974476,11,4e-07
974476,10832,4e-07
974476,836524,4e-07
974476,974743,4e-07
974476,974744,8e-07
974476,11,4e-07
974476,974745,1.5e-06
974476,11,4e-07
974476,16245,8e-07
974476,910321,8e-07
974476,974747,4e-07
974476,933352,8e-07
974476,917551,4e-07
974476,837632,4e-07
974476,974748,1.9e-06
974476,824907,1.1e-06
974476,974749,4e-07
974476,974750,4e-07
974476,11,4e-07
974476,972776,4e-07
974476,825983,1.5e-06
974476,974751,4e-07
974476,974752,8e-07
974476,968207,4e-07
974476,11,4e-07
974476,798948,8e-07
974476,974753,8e-07
974476,974754,4e-07
974476,27775,8e-07
974476,974755,4e-07
974476,11,4e-07
974476,824764,8e-07
974476,974756,1.1e-06
974476,974757,4e-07
974476,974758,4e-07
974476,974759,4e-07
974476,11,4e-07
974476,11,4e-07
974476,27776,1.1e-06
974476,842122,8e-07
974476,974761,8e-07
974476,6348,4e-07
974476,29,1.1e-06
974476,974762,8e-07
974476,826465,4e-07
974476,1912,4e-07
974476,974763,4e-07
974476,974764,8e-07
974476,974765,8e-07
974476,11,4e-07
974476,974766,4e-07
974476,27,4e-07
974476,974767,4e-07
974476,858872,1.5e-06
974476,974768,4e-07
974476,974769,8e-07
974476,974770,4e-07
974476,11,4e-07
974476,974771,4e-07
974476,974772,8e-07
974476,27,4e-07
974476,974773,4e-07
974476,974774,4e-07
974476,27,4e-07
974476,794014,1.1e-06
974476,27777,1.5e-06
974476,855491,4e-07
974476,802639,8e-07
974476,27778,8e-07
974476,974775,4e-07
974476,11,8e-07
974476,974776,4e-07
974476,974777,4e-07
974476,2912,4e-07
974476,848722,8e-07
974476,898241,4e-07
974476,1896,1.1e-06
974476,799105,1.1e-06
974476,922900,4e-07
974476,11,4e-07
974476,974778,8e-07
974476,27,4e-07
974476,974779,4e-07
974476,974780,4e-07
974476,861687,4e-07
974476,21631,1.1e-06
974476,967665,4e-07
974476,974781,4e-07
974476,974782,1.1e-06
974476,974783,4e-07
974476,11,4e-07
974476,11685,1.1e-06
974476,933177,1.1e-06
974476,974784,1.5e-06
974476,974785,1.5e-06
974476,926225,1.5e-06
974476,974786,1.1e-06
974476,974787,4e-07
974476,11,4e-07
974476,974788,4e-07
974476,974789,4e-07
974476,974790,4e-07
974476,842730,4e-07
974476,664,4e-07
974476,974791,4e-07
