"transaction_from_key","transaction_to_key","value"
2,2,24.375
2,782477,0.7709
3,782479,47.1405196
3,4,150
5,782480,65.45
5,782481,34.55
6,782482,6.90778707
6,7,3
782483,782484,8
782483,782483,2.90838
8,782487,32.26071254
782488,782489,1.988
782490,782491,100
782490,782490,0.66531339
7383,9,10
7383,835413,1.1185
9,782493,50
10,782495,1.81
782496,782497,1
782496,782498,9
782499,11,24.73
782500,782501,60
782500,782500,9.929
783366,783517,1000
783366,782502,21434.686
782502,782503,20434.684
782502,782504,1000
782505,782506,0.157
782505,782507,0.123
12,782509,0.32383801
12,782510,1.45
782511,782512,15
782513,782514,0.1337
782513,782515,0.1163
13,782517,0.01000132
13,782518,15
14,782521,0.01013336
14,782522,1
15,782523,1.22239699
782524,782525,2
782524,782526,0.13402526
782527,782528,4
782527,782529,2.90659032
782530,782531,3.00990668
782530,782532,17.57688926
782533,782534,2.89853467
782535,782536,0.98345576
27,27,0.01000182
27,16,45.4453129
16,782539,99.9982639
805536,804380,24.2093827
805536,17,0.30092124
17,782541,69.67323662
17,782542,100
782543,18,15
782543,782543,2.73097098
782545,782546,15.17
782545,7,20
19,782555,0.01035259
19,20,44.04883453
21,782557,2.48227273
21,782558,2.51772727
22,782587,3.15503645
23,782588,0.09
782589,782590,7
782589,782591,3.59
145,24,3.35
145,783523,10
24,782592,0.079
24,782593,5
26,25,0.02
26,26,0.0167696
25,26,1e-04
25,25,0.0189
782596,27,2.499
782596,782596,0.49767551
28,29,1.77168
28,28,18.70712462
25,26,1e-04
25,25,0.0189
25,26,1e-04
25,25,0.0189
782602,25,0.01
782602,782602,7.71698
25,782602,5e-05
25,25,0.00895
782604,25,0.01
782604,25,0.01
782604,25,0.01
782604,25,0.01
782604,25,0.01
782604,25,0.01
782604,25,0.01
782604,25,0.01
782604,25,0.01
782604,25,0.01
782604,25,0.01
782604,782604,0.7225
25,782604,0.08000392
25,25,0.47095213
30,25,0.015
30,790588,0.00024522
25,30,0.02006348
25,25,13.25970044
25,3025,18.69091466
25,25,13.26576392
25,25,13.26576393
782536,782535,0.98295576
25,782607,0.01528952
25,25,0.60059921
782607,25,0.01478952
782609,784689,0.03361349
782609,782609,52.71527521
782609,782610,0.98557
782609,782611,51.72920521
782612,784844,0.00216273
782612,782612,35.95342899
782612,782613,0.015732
782612,782612,35.93719699
783820,782614,5.69298678
783820,783821,0.0649109
782614,782615,0.0139999
782614,782616,5.67848688
785280,785281,0.00128362
785280,785282,0.00259006
785280,785283,0.00234098
785280,785284,0.04508608
785280,785285,0.00340994
785280,782617,0.00201192
785280,785286,0.00110178
785280,785287,0.0059415
785280,299,3.35527946
785280,785288,0.02358158
785280,785289,0.02375698
785280,785290,0.59217798
785280,785291,0.00160206
785280,785292,0.02817224
782617,782618,0.001
782617,782619,0.00051192
783703,180,1.09
783703,782620,30.9095
782620,782621,5
782620,782622,25.909
783898,783899,0.01
783898,782623,5.09070936
782623,782624,5.05520936
782623,782625,0.035
783852,782626,3.248426
783852,783854,0.879814
782626,31,1.56
782626,782627,1.687926
32,782629,0.01603142
32,782630,9e-04
783698,782631,2.2345
783698,783699,2.765
782631,782632,0.7488
782631,33,1.4852
788657,34,0.05
788657,788658,0.0192392
34,782634,0.0395
34,25,0.01
1470,791726,0.00161251
1470,782635,0.02021751
782635,782636,0.0024425
782635,782637,0.01727501
783835,782638,0.0934422
783835,29,0.0340275
782638,782639,0.073425
782638,782640,0.0195172
782624,782641,5.0445022
782624,782642,0.01020716
782641,782643,5.0340022
782641,782644,0.01
782643,782645,0.01
782643,782646,5.0235022
782627,782647,0.77
782627,782648,0.917426
782646,35,0.0362136
782646,782649,4.9867886
782649,782650,4.8362886
782649,782651,0.15
782650,782652,4.6557886
782650,36,0.18
782652,782654,4.6443234
782652,782655,0.0109652
782654,782656,4.5938234
782654,37,0.05
782656,782658,0.08228626
782656,782659,4.51103714
782659,782660,4.43053714
782659,782661,0.08
782660,782662,4.42003714
782660,38,0.01
782662,782664,0.01
782662,782665,4.40953714
782666,782667,0.0392303
782666,782668,0.5
788284,788285,9
788284,782669,12.38
782669,4,10
782669,782671,2.3795
783408,782672,20
783408,27,10
782672,27,5
782672,782674,14.9995
783793,783794,0.937
783793,782675,6.0625
782675,782676,4.062
782675,782677,2
788603,784781,7.29662
788603,782678,0.70588
782678,782679,0.04154
782678,29,0.66384
39,782680,0.0395
782680,39,0.007
782680,782682,0.032
47,782683,0.01174842
47,782685,0.001
782683,782684,0.01024842
782683,782685,0.001
782686,782687,8.98087551
782686,27,10
782688,784065,0.59953939
782688,782688,177.06473528
782688,782689,7
782688,782688,170.06423528
782690,25,0.01
782690,782690,0.9895
782691,782692,0.0037
782691,782691,0.04653293
782693,71,0.011
782693,782693,0.0981
782693,782694,0.08
782693,782693,0.0176
782506,782695,0.0335
782506,782696,0.123
782697,782698,0.245
782697,782699,2.67337704
782700,782701,3.8817
782700,782702,1.1178
1657,782703,18
1657,792615,0.57506891
782703,782704,10.12129739
782703,27,7.87820261
782688,29,0.9995
782688,782688,169.06423528
782688,29,0.75365426
782688,782688,168.31008102
782688,782708,0.36
782688,782688,167.94958102
782688,7,0.66094149
782688,782688,167.28813953
782708,25,0.1
782708,782708,0.2595
782710,782710,1.9927751
782710,782711,9.97
382,782712,11.7995
382,29,0.2
782712,782713,11.499
782712,782714,0.3
782715,40,0.05095541
782715,782715,0.04360607
782715,40,0.02
782715,782715,0.02310607
782688,782716,0.1
782688,782688,167.18763953
782688,782717,4.66372194
782688,782688,162.52341759
782688,782718,1.0448
782688,782688,161.47811759
782708,25,0.1
782708,782708,0.159
782688,782719,1.29735691
782688,782688,160.18026068
25,167,0.53552613
25,25,0.46410487
25,782720,0.01482072
25,25,0.50783415
25,26,0.00015
25,25,0.02885
782720,799501,0.0135
782720,25,0.012
25,26,1e-04
25,25,0.0189
25,26,5e-05
25,25,0.00895
25,26,0.00015
25,25,0.24057
25,26,1e-04
25,25,0.0189
25,151,0.00093
25,25,0.18407
25,26,0.00015
25,25,0.08336
25,26,5e-05
25,25,0.00895
25,783548,9e-05
25,25,0.01691
25,26,0.00015
25,25,0.02885
25,784072,0.01071052
25,25,0.08263948
25,26,1e-04
25,25,0.33150724
25,151,0.000888
25,25,0.175712
25,212,0.01004424
25,25,0.05445576
25,151,0.000375
25,25,0.073625
25,782732,5e-05
25,25,0.18485
25,26,0.00015
25,25,0.02885
25,151,0.000375
25,25,0.073625
782732,25,0.01
782732,25,0.01
782732,25,0.01
782732,25,0.01
782732,25,0.01
782732,25,0.01
782732,25,0.01
782732,25,0.01
782732,25,0.01
782732,25,0.01
782732,25,0.01
782732,25,0.01
782732,25,0.01
782732,25,0.01
782732,25,0.01
782732,25,0.01
782732,25,0.01
782732,25,0.01
782732,25,0.01
782732,25,0.01
782732,25,0.01
782732,25,0.01
782732,25,0.01
782732,25,0.01
782732,25,0.01
782732,25,0.01
782732,25,0.01
782732,25,0.01
782732,25,0.01
782732,25,0.01
782732,25,0.01
782732,25,0.01
782732,25,0.01
782732,25,0.01
782732,25,0.01
782732,25,0.01
782732,25,0.01
782732,25,0.01
782732,25,0.01
782732,25,0.01
782732,25,0.01
782732,25,0.01
782732,25,0.01
782732,25,0.01
782732,25,0.01
782732,25,0.01
782732,25,0.01
782732,25,0.01
782732,25,0.01
782732,25,0.01
782732,25,0.01
782732,25,0.01
782732,25,0.01
782732,25,0.01
782732,25,0.01
782732,25,0.01
782732,25,0.01
782732,25,0.01
782732,25,0.01
782732,25,0.01
782732,25,0.01
782732,25,0.01
782732,25,0.01
782732,25,0.01
782732,25,0.01
782732,25,0.01
782732,25,0.01
782732,25,0.01
782732,25,0.01
782732,25,0.01
782732,25,0.01
782732,25,0.01
782732,25,0.01
782732,25,0.01
782732,25,0.01
782732,25,0.01
782732,25,0.01
782732,25,0.01
782732,25,0.01
782732,25,0.01
782732,25,0.01
782732,25,0.01
782732,25,0.01
782732,25,0.01
782732,25,0.01
782732,25,0.01
782732,25,0.01
782732,25,0.01
782732,25,0.01
782732,25,0.01
782732,25,0.01
782732,25,0.01
782732,25,0.01
782732,25,0.01
782732,25,0.01
782732,25,0.01
782732,25,0.01
782732,25,0.01
782732,25,0.01
782732,25,0.01
782732,25,0.01
782732,25,0.01
782732,25,0.01
782732,25,0.01
782732,25,0.01
782732,25,0.01
782732,25,0.01
782732,25,0.01
782732,25,0.01
782732,25,0.01
782732,25,0.01
782732,25,0.01
782732,25,0.01
782732,25,0.01
782732,25,0.01
782732,25,0.01
782732,25,0.01
782732,25,0.01
782732,25,0.01
782732,25,0.01
782732,25,0.01
782732,25,0.01
782732,25,0.01
782732,25,0.01
782732,25,0.01
782732,25,0.01
782732,25,0.01
782732,25,0.01
782732,25,0.01
782732,25,0.01
782732,25,0.01
782732,25,0.01
782732,25,0.01
782732,25,0.01
782732,25,0.01
782732,25,0.01
782732,25,0.01
782732,25,0.01
782732,25,0.01
782732,25,0.01
782732,25,0.01
782732,25,0.01
782732,25,0.01
782732,25,0.01
782732,25,0.01
782732,25,0.01
782732,25,0.01
782732,25,0.01
782732,25,0.01
782732,25,0.01
782732,25,0.01
782732,25,0.01
782732,25,0.01
782732,25,0.01
782732,25,0.01
782732,25,0.01
782732,25,0.01
782732,25,0.01
782732,25,0.01
782732,25,0.01
782732,25,0.01
782732,25,0.01
782732,25,0.01
782732,25,0.01
782732,25,0.01
782732,25,0.01
782732,25,0.01
782732,25,0.01
782732,25,0.01
25,783556,5e-05
25,25,0.00895
25,782734,0.00283335
25,25,0.69396165
25,151,0.000375
25,25,0.073625
25,783559,0.00025
25,25,0.04875
25,26,0.00015
25,25,0.35687102
25,26,1e-04
25,25,0.44322102
25,152,0.00025
25,25,0.04875
25,26,1e-04
25,25,0.0189
25,151,0.000375
25,25,0.48646039
25,26,0.9785
25,25,0.47850539
25,26,1e-04
25,25,0.0189
25,26,1e-04
25,25,0.452845
25,26,1e-04
25,25,0.0189
25,26,1e-04
25,25,0.080375
25,26,1e-04
25,25,0.0189
25,783560,0.000125
25,25,0.023875
25,26,1e-04
25,25,0.0189
25,26,1e-04
25,25,0.56030431
25,26,0.00015
25,25,0.36947931
25,151,0.000775
25,25,0.153225
26,25,0.02
26,26,0.38228266
25,26,1e-04
25,25,0.107025
25,26,1e-04
25,25,0.2083
25,151,0.000375
25,25,0.073625
26,25,0.02
26,26,0.53373136
25,26,5e-05
25,25,0.00895
25,26,1e-04
25,25,0.0189
25,782732,5e-05
25,25,0.0555
25,26,1e-04
25,25,0.0189
25,153,5e-05
25,25,0.00895
25,26,1e-04
25,25,0.0189
25,41,5e-05
25,25,0.31646183
25,26,1e-04
25,25,0.0189
25,165,0.8002892
25,25,0.26991183
41,25,0.01
41,41,0.03640269
25,151,0.000375
25,25,0.073625
25,782737,0.01957
25,25,0.090705
25,782732,5e-05
25,25,0.00895
782737,25,0.01
782737,782737,0.00085134
25,26,1e-04
25,25,0.0189
783886,783887,5.70131448
783886,42,0.0105
42,37,0.0102
42,42,2e-04
42,37,0.0215
783827,43,0.7104
783827,783828,0.2891
43,782740,0.31242302
43,782741,1
783756,43,0.60252302
783756,783757,0.2
39,782680,0.0135
39,782744,0.01189975
39,783555,2.5e-07
39,39,0.01589975
783694,44,5.6367
783694,27,1.0967
44,782746,1.6357
44,782747,10
783799,44,5.9995
783799,783800,1
224,784111,10
224,45,0.01048889
45,782751,0.534
45,782752,0.01135212
222,784101,2.213
222,45,0.175264
432,785195,10
432,45,0.01010872
225,784113,10
225,45,0.01209051
999,788971,4.691e-05
999,45,0.3384
829205,313,0.02850369
829205,1523,0.02207324
829205,829206,0.03618885
829205,784510,0.00137021
829205,829207,0.00121054
829205,817008,0.0052266
829205,11,0.02693287
829205,301,0.1224861
829205,11,0.0120721
829205,791959,0.00118321
829205,11,0.01927117
829205,784514,0.00370496
829205,784516,0.00195437
829205,829208,0.05254663
829205,316,1.60154761
829205,218,0.00216878
829205,829209,0.05194054
829205,829210,0.01082237
829205,317,0.33918965
829205,829211,0.00104861
829205,798616,0.01020628
829205,792061,0.00156885
829205,6777,0.00823342
829205,11,0.13066946
829205,819213,14.07668715
829205,829213,0.00111295
829205,798617,0.00103747
829205,784523,0.00149347
829205,11,0.01182263
829205,27,0.02142657
829205,319,0.00246342
829205,320,0.62979095
829205,829214,0.00130046
829205,784528,0.0022269
829205,810526,0.00113136
829205,4,0.00106788
829205,7,0.00155772
829205,816590,0.00118083
829205,2630,0.03431612
829205,784530,0.00115314
829205,784531,0.00109228
11,782755,10.64927117
11,46,0.8779
223,782685,8e-04
223,784106,0.0101549
782685,47,0.0012658
782685,782757,3.42e-05
27,27,0.01050075
27,784478,0.27485455
27,782760,0.01000075
27,782761,30
1340,790794,1.03606887
1340,27,30
27,27,0.1045
27,48,0.095
48,782765,0.012759
48,49,0.10664
1239,48,0.0104688
1239,790358,2.315
818584,48,0.0144302
818584,807261,0.0044955
796754,20,1
796754,796754,0.0071359
20,782769,7.55853334
20,782770,0.7978
20,782771,0.88597062
20,29,4.13529
20,782772,0.01214313
20,50,0.87437956
20,29,3.24484568
20,782629,0.099
20,782775,5.595
20,782776,2.508
2540,340,0.29613406
2540,20,10.35
796585,20,14.33942312
796585,796585,20.20485616
427,785178,0.06786914
427,20,0.01238132
427,785179,0.5977
427,785180,1.8915
427,785088,0.38443243
398,20,0.01015789
398,785088,2
869,877,2
869,51,133.2242501
869,787897,133.2242501
869,787898,133.2242501
869,787899,133.2242497
869,787900,0.01389691
51,52,17.36
51,782780,28.96606262
51,782781,28.96606262
51,782782,28.96606262
51,782783,28.96606224
51,782784,0.01289702
1283,1284,0.5
1283,1080,7.31436048
1283,51,0.01339702
52,782786,17.36
52,782787,0.01339702
1300,1301,0.07
1300,1119,1.83406868
1300,52,0.01389702
788723,27,0.0179614
788723,788724,24.61270721
27,782790,0.01000892
27,782791,10.2502247
782688,27,10.05
782688,782688,689.94996378
631,788127,0.00166178
631,788128,0.00129604
631,788129,0.00131857
631,925,0.00303899
631,788131,0.00117125
631,926,0.01079733
631,927,0.01556737
631,788133,0.00109321
631,11,0.01823
631,788134,0.00571099
631,928,0.00107316
631,46,0.00219223
631,788135,0.00114277
631,788136,0.00118104
631,788137,0.00108453
631,788138,0.00139125
631,788139,0.01003727
631,27,0.00112356
631,788140,0.00154349
631,7,0.00181595
631,788142,0.01002371
631,788143,0.01495758
631,784508,13.95375721
631,788144,0.00179254
631,788145,0.00158778
631,788146,0.01130468
631,788147,0.00154461
631,788148,0.00108649
631,929,0.00104709
631,788149,0.00122447
631,20,0.01041197
631,319,0.00243783
