"transaction_from_key","transaction_to_key","value"
4961,110871,0.08405655
4961,782490,3
1595013,110587,9.57715303
1595013,782490,20
1581977,1580703,64.398
1581977,782490,20
110266,782543,5.5149
110266,110266,1.4636
109853,67,2
109853,109790,0.033204
1592372,783549,8.271
1592372,1588133,8.3
290,793,0.05
290,290,0.00015118
339,339,0.0179
339,108539,1
1581398,785411,0.01313512
1374,1374,11.09
1374,489,0.02
116,50693,0.50233603
116,7,0.12567913
116,1156363,0.50212042
116,5897,2.19240042
116,896757,0.05110721
116,65566,0.1448499
116,44665,0.40758186
116,20102,0.01018565
116,16197,0.10026785
116,806217,0.05080482
116,27,0.05161827
116,1021610,0.20387826
116,6553,0.50510677
116,33279,0.10142008
116,27,0.10132044
116,74,0.08640756
116,2410,0.10083197
116,2255,0.05036898
116,900950,0.10602154
116,18787,0.08506968
116,64020,1.00328598
116,963941,0.05026702
116,1159,0.1596565
116,75,0.05806257
116,27,0.10874435
116,22037,0.05006359
116,26134,0.01290198
116,1416,2.02016827
116,1210017,0.05017691
116,3291,0.20279333
116,13519,0.10014946
116,514,2.01906007
116,13829,0.10157575
116,32185,0.01172842
116,7790,0.10255627
116,100610,0.05240671
116,11,0.52614527
116,1159,0.07344189
116,819286,0.05184823
116,1585941,0.0503173
116,71877,0.0553284
116,898945,0.05043736
116,814940,0.1028263
116,797139,0.70389217
116,2422,6.00806368
116,18087,0.60326435
116,15617,0.27404899
116,9068,0.11285703
116,11,0.05773118
116,11,0.0521192
116,13713,0.10044443
116,109389,5.82923085
116,7,1.00941003
116,1109266,0.05047635
116,29,0.46584831
116,10267,0.05269687
116,70806,0.05020729
116,2402,0.05847496
116,11,0.30028743
116,16494,0.20231502
116,872010,0.08373531
116,861916,0.10168911
116,32879,0.20156393
116,18163,0.2064661
116,39381,0.21356598
116,2880,0.22482042
116,7,0.05106143
116,1159,0.11240937
116,34865,0.13973155
116,841396,0.25281986
116,1159,0.05706168
116,11095,0.50183952
116,33403,0.1022516
116,5348,1.00190767
116,17142,0.05216344
116,27,0.10013773
116,95203,0.50412932
116,11,0.50108536
116,27,0.0586125
1600231,1599973,18.72973952
1600231,555,0.36431
1575354,785803,2.0437
1575354,1575354,7.28903829
25,597,6.2624
25,25,6.13964
25,597,0.008
25,25,1.591
25,597,0.002
25,25,0.397
597,597,0.1909
597,25,0.2
25,597,0.001
25,25,0.198
25,597,0.3914
25,25,0.10887
597,25,3.2
597,597,0.0492
25,597,0.004
25,25,0.95697
1580237,1579870,24.09316496
1580237,786136,0.96511362
1572570,842239,0.0028
1572570,852468,0.00048
1572570,7433,8e-05
1572570,852470,0.00128
