"transaction_from_key","transaction_to_key","value"
784163,1854408,2.09436133
784163,784163,0.00642867
785534,512,0.01
785534,785534,4.8607
1871497,1868456,248.53426562
1871497,786375,0.04247789
1865882,842239,0.0012
1865882,852468,4e-04
1865882,852470,8e-04
1865882,113984,1e-04
1865882,1879,1e-04
1865882,783191,4e-04
1865882,11302,0.0011
1865882,866160,0.012
1865882,927492,1e-04
1865882,837465,1e-04
1865882,1082725,0.000625
1865882,1516172,3e-04
1865882,10309,1e-04
1865882,1760800,5e-04
1865882,74,0.00016
1865882,27824,1e-04
1865882,74,9e-04
1865882,819584,0.000925
1865882,988238,8e-04
1865882,886530,0.00016
1865882,858295,1e-04
1865882,74,2e-04
1865882,909949,2e-04
1865882,852473,3e-04
1865882,896058,3e-04
1865882,7042,7e-04
1865882,783322,0.023
1865882,825178,4e-04
1865882,1196139,2e-04
1865882,90,1e-04
1865882,852474,2e-04
1865882,74,4e-04
1865882,6813,1e-04
1865882,800150,0.001
1865882,74,2e-04
1865882,842548,1e-04
1865882,78,4e-04
1865882,74,2e-04
1865882,825570,5e-04
1865882,74,1e-04
1865882,74,2e-04
1865882,9833,0.017745
1865882,6313,4e-04
1865882,29901,1e-04
1865882,74,5e-04
1865882,640,2e-04
1865882,829579,1e-04
1865882,1210562,1e-04
1865882,836837,1e-04
1865882,1349059,0.0041
1865882,852480,1e-04
1865882,1004093,6e-04
1865882,74,1e-04
1865882,59357,1e-04
1865882,4349,4e-04
1865882,783198,8e-04
1865882,852481,0.000425
1865882,826193,0.001
1865882,3021,0.0132
1865882,829264,3e-04
1865882,74,1e-04
1865882,27835,9e-04
1865882,1773626,9e-04
1865882,11,1e-04
1865882,858679,0.000625
1865882,27868,0.004
1865882,66926,7e-04
1865882,74,7e-04
1865882,897907,0.00046
1865882,74198,0.0012
1865882,825032,2e-04
1865882,852485,0.0019
1865882,74,4e-04
1865882,825712,0.001085
1865882,852486,1e-04
1865882,1004239,3e-04
1865882,74,2e-04
1865882,27868,0.01448
1865882,857135,0.00154
1865882,7,0.0022
1865882,1814653,1e-04
1865882,28090,1e-04
1865882,74,1e-04
1865882,74,0.0059
1865882,1427169,0.002405
1865882,27769,0.00016
1865882,1218300,4e-04
1865882,74,5e-04
1865882,74,4e-04
1865882,825326,0.00086
1865882,1865883,2e-04
1865882,862787,4e-04
1865882,927552,6e-04
1865882,71,5e-04
1865882,787729,0.000425
1865882,988241,2e-04
1865882,74,0.01278
1865882,74,6e-04
1865882,1707829,5e-04
1865882,71,7e-04
1865882,1815124,4e-04
1865882,1291616,0.0019
1865882,74,2e-04
1865882,74,1e-04
1865882,11,1e-04
1865882,825729,1e-04
1865882,1172848,0.000225
1865882,28029,0.001225
1865882,74,3e-04
1865882,1750775,8e-04
1865882,11,1e-04
1865882,927574,3e-04
1865882,3113,0.00274
1865882,59840,1e-04
1865882,976056,2e-04
1865882,1121244,2e-04
1865882,802618,1e-04
1865882,6803,3e-04
1865882,1004161,1e-04
1865882,8200,4e-04
1865882,21722,5e-04
1865882,27,1e-04
1865882,7,1e-04
1865882,11,1e-04
1865882,74,1e-04
1865882,1865884,3e-04
1865882,1220,6e-04
1865882,11,1e-04
1865882,11,1e-04
1865882,11,2e-04
1865882,922671,4e-04
1865882,11,1e-04
1865882,11,1e-04
1865882,819,4e-04
1865882,74,2e-04
1865882,1760966,3e-04
1865882,8200,3e-04
1865882,2685,8e-04
1865882,74,1e-04
1865882,21722,9e-04
1865882,74,0.00162
1865882,1704990,2e-04
1865882,74,3e-04
1865882,74,0.01238
1865882,852493,4e-04
1865882,1865885,1e-04
1865882,1861278,1.78663232
1865882,74,0.0016
1865882,74,1e-04
1865882,76,0.00146
1865882,1318122,2e-04
1865882,74,0.00386
1865882,852496,5e-04
1865882,1209324,0.00672
1865882,1209398,1e-04
1865882,18284,0.00104
1865882,6309,1e-04
1865882,852498,0.0022
1865882,842523,1e-04
1865882,1865886,0.0012
1865882,74,6e-04
1865882,74,4e-04
1865882,786375,8e-04
1865882,1004140,0.0062
1865882,787206,1e-04
1865882,1041469,0.0015
1865882,932278,0.02
1865882,1004470,0.001
1865882,1168118,0.000825
1865882,1804725,4e-04
1865882,1206727,6e-04
1865882,56061,0.00256
1865882,1787236,0.00106
1865882,4556,9e-04
1865882,826273,0.0097
1865882,1856351,0.000825
1865882,1760803,0.0028
1865882,1201990,8e-04
1865882,1745665,0.000925
1865882,74,0.0012
1865882,852500,0.008825
1865882,37593,0.012
1865882,793914,0.000125
1865882,1633462,5e-04
1865882,852501,3e-04
1865882,925731,0.00116
1865882,18246,0.013
1865882,988242,0.0174
1865882,988243,0.001525
1865882,1212379,1e-04
1865882,195,0.00228
1865882,7480,5e-04
1865882,74,0.0025
1865882,1684532,2e-04
1865882,988244,0.17132
1865882,12228,0.00078
1865882,71,3e-04
1865882,852503,9e-04
1865882,852504,6e-04
1865882,11,0.00274
1865882,9847,0.0105
1865882,6309,1e-04
1865882,1206674,1e-04
1865882,933498,0.0024
1865882,829521,1e-04
1865882,74,0.003
1865882,61432,5e-04
1865882,28090,0.00096
1865882,1033299,4e-04
1865882,1865887,0.003705
1865882,28090,1e-04
