"transaction_from_key","transaction_to_key","value"
20,61404,49.0052
20,63464,0.01035225
20,19,14
20,1007674,4.26353394
782596,27,1.999
782596,782596,2.99767551
147,147,1.76480333
147,27,2
783536,27,10
783536,783536,5.999
64425,64412,0.05585747
64425,75,1
1248799,47916,0.0013
1248799,783938,12.1982
63928,62659,0.01757912
63928,784489,0.01
1232314,784489,7.63
1232314,1225055,85.3695
1232330,309,0.05980986
1232330,784489,0.01
1232289,1226982,3.5656555
1232289,784489,2.17
1374,1374,9.72176909
1374,784533,0.03
784756,60241,0.00144
784756,784756,0.09806
116,11700,1.0000473
116,806217,0.05092556
116,814923,5.22523617
116,4283,0.12547241
116,27,0.7745464
116,64020,1.02767324
116,27,0.05860135
116,29,0.05246693
116,958163,0.05014113
116,514,2.00791299
116,1844,0.01157594
116,11,1.0074762
116,985365,0.05188636
116,841813,0.10201142
116,26134,0.01148972
116,1153,0.10179061
116,3106,1.04325276
116,27,0.15296088
116,2402,0.11213942
116,988044,0.05044237
116,64021,0.05003297
116,14108,0.10180828
116,46330,0.15933032
116,22302,0.05125116
116,1140,2.05872071
116,1159,0.05730484
116,38424,0.30191991
116,7466,0.0801738
116,16197,0.10058901
116,29354,10.29600866
116,2474,1.15046735
116,64022,0.1009178
116,37,0.05157697
116,797139,1.01919629
116,34284,0.20057681
116,34159,0.10426218
116,21885,0.01348304
116,1123830,0.07707763
116,16989,0.0509832
116,11,0.05015161
116,5896,1.2766103
116,1233644,0.10136014
116,8020,0.50047958
116,851296,0.05365027
116,1029259,0.10179374
116,8640,0.10018797
116,5897,3.11977006
116,518,2.13813998
116,814919,1.23498772
116,6553,0.10499503
116,854826,0.05002742
116,785211,0.17306816
116,1159,0.05612816
116,2415,1.00602718
116,913816,0.05434504
116,797155,0.05094992
116,1233645,0.27375907
116,3295,0.50374107
116,29,0.10170484
116,814945,0.05291164
116,1218661,0.10093316
116,1156,1.04410097
116,20,0.62432556
116,34865,0.1477913
116,2657,0.26687118
116,20865,0.10715663
116,5899,0.10238856
116,30254,0.05052435
116,4547,0.06010481
116,1190623,0.10027947
116,1047702,0.05061245
116,6561,0.01143906
116,1231963,4.26179333
116,64023,1.00780022
116,27,0.10479512
116,26284,0.0528121
116,814931,0.10026272
116,9192,0.20063885
116,75,0.06646028
116,1021612,0.10022344
116,937170,0.05000671
116,1159,0.07060246
116,1233646,0.05195684
116,1210848,0.101002
116,27,0.1024883
116,840110,0.13014496
116,928717,0.05068917
116,1159,0.11031647
116,17722,0.05230507
116,937716,0.20579984
116,11,0.05084868
116,1159,0.1014018
116,869538,0.05117924
116,56109,0.30280658
116,967774,0.10398081
116,900973,0.10020052
1374,1374,6.90565034
