"transaction_from_key","transaction_to_key","value"
783534,142902,2.01
783534,783534,2.988
139249,139249,0.07795181
139249,785411,0.022
143308,1900023,0.28
143308,508,20
116,1250898,0.05000658
116,11,0.0522535
116,334,0.25196993
116,57343,10.00635222
116,4341,0.1358131
116,26524,0.10543959
116,514,2.03522311
116,13829,0.13975072
116,1844,0.01224079
116,7790,0.10244682
116,1298310,0.05017313
116,1570189,0.05064773
116,6538,0.10350668
116,59077,0.50044118
116,392,0.10169788
116,2402,0.18665378
116,1,0.01934924
116,51547,1.0056108
116,17140,0.27694962
116,39381,0.13779097
116,1909270,3.47923026
116,1578412,0.05913497
116,21885,0.01438934
116,99141,0.10876024
116,5921,0.1480893
116,1015,0.2777061
116,1578439,0.10026013
116,11,0.05491555
116,18992,1.01101948
116,20102,0.01048702
116,807031,0.0562182
116,827569,0.0500327
116,9152,0.05758219
116,93580,0.05049504
116,22855,0.06279292
116,824,0.50355381
116,11,1.00536896
116,872519,0.25802972
116,900950,0.11221319
116,7,0.20172938
116,6539,0.05118373
116,923306,0.05165384
116,789813,0.51359193
116,1166,0.10250848
116,2883,0.51644946
116,6500,1.42731983
116,20,0.06468911
116,2458,0.16729153
116,22300,0.0501043
116,35313,1.01509911
116,7421,0.05156866
116,2414,0.10154897
116,1319,0.05168016
116,853599,0.5297849
116,6438,1.01426597
116,39541,0.20016086
116,309,5.50172267
116,900958,1.02684642
116,1327343,0.0513686
116,10632,0.10739798
116,1303994,0.05027606
116,4575,0.13863501
116,76331,0.10171816
116,70054,0.10803028
116,8626,0.2142266
116,27845,0.05159835
116,1489542,0.05070768
116,11447,0.05469179
116,1774005,0.05006758
116,22301,1.0198331
116,5899,0.13439409
116,121966,0.10404286
116,7,0.12432862
116,1040694,0.05071374
116,27,0.06261805
116,17154,0.10410467
116,6560,0.14651114
116,927323,0.15048123
116,1176135,0.0506121
116,7,0.05071445
116,4,0.11390313
116,11176,0.07409667
116,4556,0.0531477
116,908773,0.05023917
116,57355,0.06358347
116,11,0.05476903
116,7808,0.05198121
116,33347,0.1029279
116,1380,0.11959285
116,1200279,0.10264195
116,840115,0.06075363
116,35627,0.05410473
116,1043239,0.05023217
116,12439,0.05269474
116,1836535,0.05185454
116,894597,0.05015234
116,133876,0.05091412
116,996689,1.01907385
116,27,0.06968356
116,9073,10.4194353
20,144146,2.37
20,20,0.98212922
20,209,0.64487078
1910556,825589,1e-04
1910556,866160,0.00416
1910556,1082725,0.000125
1910556,74,0.000475
1910556,27913,0.000125
